lat,lng,name,address,city,operator_type,amenity,geometry,altitude,coordinates,osm_id,osm_type,completeness,is_in_health_zone,speciality,operator,water_source,changeset_id,insurance,staff_doctors,contact_number,uuid,electricity,opening_hours,operational_status,source,is_in_health_area,health_amenity_type,changeset_version,emergency,changeset_timestamp,addr_housenumber,addr_postcode,staff_nurses,changeset_user,wheelchair,beds,url,dispensing,healthcare
14.58197336,121.181717,Medical City,,,,clinic,Point,,,4573090452,node,9,,,,,44681052,,,,d7e41aa9f3cf4555992abed470ef1101,,,,,,,1,,2016-12-26T12:14:03,,,,Roy Suarez Aquino,,,,,
14.11463565,121.5542123,Rosman Pharmacy,,,,pharmacy,Point,,,6450453310,node,9,,,,,70143995,,,,a1b0d8166f2e4a169b89545fe6ab8ccf,,,,,,,2,,2019-05-11T18:10:32,,,,TagaSanPedroAko,,,,,
14.33040679,120.957185,LTP Lying-in Clinic,,,,clinic,Point,,,4865544021,node,12,,,,,48835473,,,,9afbf2453ae744eaae1a404728c6c9e4,,24-Jul,,,,,1,,2017-05-20T03:38:57,,,,remzamora,,,,,
14.57391726,121.0580095,Hi-Precision Diagnostics,,,private,,Point,,,7039968496,node,25,,blood_check,Hi-Precision Diagnostics,,82663468,,,+63 933 8193859;+63 917 659 4671;+63 2 8631 7306,e9423875db704cbcb4b65993a2971294,,Mo-Sa 07:00-17:00,,,,,5,,2020-03-26T12:52:17,,,,GrabPHMikko,,,,,laboratory
11.89155075,120.0234719,Culion Sanitarium and General Hospital,,,,hospital,Point,,,2678512844,node,9,,,,,38006356,,,,05a1a1b705f84c929e4876660fe640ec,,,,,,,2,,2016-03-22T19:25:56,,,,joniversonrence,,,,,
,,South star Drugstore,,,,pharmacy,Polygon,,"124.23270473905922,13.583089466184873,124.23281269797207,13.583178817272682,124.23283834659577,13.583149564430613,124.23273047150195,13.583060045704713,124.23270473905922,13.583089466184873",237475345,way,9,,,,,17776764,,,,f3a2f5619c7a4dd0b610aa2d652fe639,,,,,,,2,,2013-09-11T03:56:19,,,,elchupipo,,,,,
10.25857454,123.9484001,SAN ROQUE MEDICAL LABORATORY,,,,,Point,,,5786024418,node,9,,,,,61075669,,,,b05fb155070143e5889062be37507eab,,,,,,,1,,2018-07-26T05:45:47,,,,tomanoba,,,,,laboratory
,,Northern Cagayan District Hospital,,,,hospital,Polygon,,"121.17213795538669,18.605321161679115,121.17222906667422,18.605428785315866,121.17240148242246,18.605297692350234,121.1724831221594,18.6053942518748,121.17251723650531,18.605368351794,121.17254464532868,18.605403388149256,121.17257549073236,18.605381762839073,121.17254724371867,18.605345553017372,121.17259493674771,18.60530925937661,121.17250935751633,18.60520808980533,121.17262553069429,18.605119744545874,121.17253785598712,18.605016144222645,121.17242478411328,18.605102142549214,121.17234415020476,18.605006924129157,121.1722385382248,18.605087138942537,121.1723196750475,18.605182944095787,121.17213795538669,18.605321161679115",267445065,way,9,,,,,62968635,,,,9cef4ad9eda845e48f4a89c8fc615107,,,,,,,2,,2018-09-27T07:57:21,,,,David Rule,,,,,
9.24718418,123.5910654,TGP,,,,pharmacy,Point,,,3830502812,node,12,,,,,75921859,,,,aaa1d8f3c894479f90cafbac2c362fe4,,,,,,,3,,2019-10-19T07:11:36,,,,TheDutchMan13,,,,,pharmacy
14.55974195,121.1353354,Generika Drugstore,,Taytay,,pharmacy,Point,,,2444081383,node,15,,,,,18334844,,,,dd7c1dea62dc4cfe8e7ceef142e2b0eb,,,,,,,3,,2013-10-13T15:59:02,,1920,,Rally,,,,,
14.53103234,121.1535334,Watsons,,,,pharmacy,Point,,,3283516085,node,9,,,,,35487565,,,,fe7bff4e4b8f4693b8e92e77fb754fde,,,,,,,2,,2015-11-21T13:41:03,,,,Rally,,,,,
9.571828784,125.7327628,The Realmed Pharmacy,,,,pharmacy,Point,,,4318056082,node,9,,,,,52535938,,,,8ff8de260e3d4a7fae18d0f170620235,,,,,,,2,,2017-10-01T12:55:28,,,,ampak,,,,,
10.81918405,122.4320045,Cube pharmacy,,,,pharmacy,Point,,,4728773402,node,9,,,,,46755569,,,,75f9cdc15a2346ff81636d5ff24957e2,,,,,,,1,,2017-03-11T06:41:02,,,,Mcarian,,,,,
6.63100654,124.5963206,Mary Arlene Pharmacy,,,,pharmacy,Point,,,6963083686,node,9,,,,,76868112,,,,2d282f71134c4f6dae4826ddf681cf0d,,,,,,,1,,2019-11-10T13:20:16,,,,LawD,,,,,
14.69001114,120.9741495,South Star Drug,,,,pharmacy,Point,,,1826172693,node,12,,,,,22305068,,,,2f7b2c82b5ef471ea87d42eabaecca78,,,,Benta Serbisyo,,,4,,2014-05-13T05:09:57,,,,Decoder777,,,,,
14.54520916,121.0111247,DentalProbe,Evangelista,,,dentist,Point,,,4552013989,node,18,,,,,79026293,,,,f9defd8d9b2041339905c7c062b88c2c,,Mo-Sa 10:00-18:00,,,,,5,,2019-12-30T18:31:46,,1209,,Rally,,,,,
14.67502925,121.0453699,,,,,pharmacy,Point,,,7328645586,node,9,,,,,82611460,,,,16f074f7ba1f4b98b62b6066a5dcbc0d,,,,,,,1,,2020-03-25T12:51:18,,,,ytrngn,,,,,pharmacy
14.33585939,120.9527337,Jodelyne Pharmacy ,,,,pharmacy,Point,,,3779279471,node,9,,,,,34524720,,,,b546b5e4c1b4476a896b027288f2025d,,,,,,,1,,2015-10-09T09:36:00,,,,Migz M,,,,,
8.484592091,124.6537635,Watsons,Sergio Osme?Òa,Cagayan de Oro,,pharmacy,Point,,,4989155637,node,21,,,,,50515094,,,,81cefe960602410d9b2d91c486f2915b,,,,survey;local knowledge,,,1,,2017-07-24T03:27:53,,9000,,Airborne90,,,,,
7.186411728,125.4594092,Agbisit Medical Clinic,,,,doctors,Point,,,1229282613,node,9,,,,,7744664,,,,5e66f94572b3462c9c5235975892f3dc,,,,,,,1,,2011-04-02T14:45:36,,,,docsam,,,,,
14.63411458,121.0859357,Mervis Drug,A. Bonifacio,Marikina,,pharmacy,Point,,,949366060,node,15,,,,,6124820,,,,b8fa2cf49501498b850b535a51f51b14,,,,,,,2,,2010-10-21T12:09:53,,,,maning,,,,,
10.25338044,123.8608642,Premiere Pharmacy,,,,pharmacy,Point,,,5539821077,node,15,,,,,57935598,,,,4e77663852dc4854b39963ec486a4510,,,,,,,1,,2018-04-09T09:45:42,,,,Karta,,,,yes,pharmacy
14.59359839,121.0007508,,,,,pharmacy,Point,,,4841671222,node,6,,,,,48501644,,,,d94037760ac3424681d93da6e981e247,,,,,,,1,,2017-05-08T13:06:54,,,,Aesha114,,,,,
8.14928646,125.1340665,A and K DrugTesting Center,San Victores,,,clinic,Point,,,4496283700,node,12,,,,,43575408,,,,fd7d1f9f8fd544f4a3eeafca62448147,,,,,,,1,,2016-11-12T06:00:13,,,,Francis Bayli,,,,,
9.775397385,125.4728439,SURIGAO DOCTORÉ??S HOSPITAL,Maharlika Highway,,,hospital,Point,,,7242139585,node,15,,,,,81449830,,,,0264be58a69e4c7bb8bf1240a0463b74,,,,,,,1,,2020-02-25T10:33:41,,8400,,Paul Gan,,,,,
